"","TCGA-02-0047-01","TCGA-06-0129-01","TCGA-06-0141-01","TCGA-06-0157-01","TCGA-06-0168-01","TCGA-06-0174-01","TCGA-06-0187-01","TCGA-06-0190-01","TCGA-06-0644-01","TCGA-06-0646-01","TCGA-06-5412-01","TCGA-14-1823-01","TCGA-76-4928-01","TCGA-76-4931-01"
"GTEX-1117F-3226-SM-5N9CT",0.43246336996337,0.382005494505494,0.361034798534799,0.325091575091575,0.526556776556776,0.342628205128205,0.254304029304029,0.18452380952381,0.118589743589744,0.383241758241758,0.183195970695971,0.190521978021978,0.266987179487179,0.446199633699634
"GTEX-111CU-0126-SM-5GZWZ",0.273031135531136,0.147115384615385,0.336675824175824,0.225457875457875,0.319826007326007,0.189194139194139,0.289377289377289,0.234752747252747,0.345924908424908,0.240979853479853,0.412179487179487,0.297298534798535,0.328525641025641,0.245650183150183
"GTEX-111CU-0226-SM-5GZXC",0.0191849816849817,-0.0654304029304029,0.115430402930403,0.0100732600732601,0.00526556776556777,-0.112774725274725,0.0547161172161172,-0.0177655677655678,-0.074496336996337,-0.00673076923076923,0.0743589743589744,-0.0281135531135531,0.0134615384615385,0.0178113553113553
"GTEX-111CU-0326-SM-5GZXO",-0.00874542124542124,-0.065521978021978,0.182692307692308,-0.0192765567765568,0.0429029304029304,-0.035989010989011,0.101831501831502,0.208608058608059,0.137545787545788,0.0555860805860806,0.147664835164835,-0.0146978021978022,0.166071428571429,0.0338827838827839
"GTEX-111CU-0526-SM-5EGHK",-0.0866758241758242,-0.133653846153846,-0.0610805860805861,-0.268543956043956,-0.164514652014652,-0.150869963369963,-0.201236263736264,-0.18003663003663,-0.109478021978022,-0.140934065934066,-0.128434065934066,-0.0870421245421245,-0.0723901098901099,-0.202152014652015
"GTEX-111CU-0626-SM-5EGHL",0.265384615384615,0.193543956043956,0.194917582417582,0.249313186813187,0.221520146520147,0.219551282051282,0.373397435897436,0.237042124542125,0.214468864468864,0.22779304029304,0.164239926739927,0.173260073260073,0.220833333333333,0.243269230769231
"GTEX-111CU-0726-SM-5GZYD",-0.112454212454212,-0.0609432234432234,-0.103708791208791,-0.11456043956044,-0.0615842490842491,-0.117307692307692,-0.0624542124542125,-0.145787545787546,-0.124358974358974,-0.116163003663004,-0.15503663003663,-0.10018315018315,-0.108287545787546,-0.00604395604395604
"GTEX-111CU-0926-SM-5EGIK",-0.273672161172161,-0.188553113553114,-0.184569597069597,-0.317857142857143,-0.266391941391941,-0.29478021978022,-0.276510989010989,-0.412912087912088,-0.435485347985348,-0.285347985347985,-0.324587912087912,-0.276465201465201,-0.346382783882784,-0.233562271062271
"GTEX-111CU-1026-SM-5EGIL",0.159935897435897,-0.0136904761904762,0.25,0.0853937728937729,0.184340659340659,0.0998626373626374,0.266712454212454,0.197893772893773,0.279761904761905,0.0757783882783883,0.315247252747253,0.2878663003663,0.269184981684982,0.0690934065934066
"GTEX-111CU-1126-SM-5EGIM",-0.224725274725275,-0.0993589743589744,-0.188278388278388,-0.247252747252747,-0.159340659340659,-0.164010989010989,-0.182051282051282,-0.120512820512821,-0.266025641025641,-0.12742673992674,-0.244505494505494,-0.28768315018315,-0.146428571428571,-0.127014652014652
"GTEX-111CU-1226-SM-5EGIN",0.314377289377289,0.254349816849817,0.231913919413919,0.326739926739927,0.299313186813187,0.34253663003663,0.408562271062271,0.387454212454212,0.300228937728938,0.34047619047619,0.226648351648352,0.19290293040293,0.336217948717949,0.364514652014652
"GTEX-111CU-1326-SM-5NQ8L",0.327518315018315,0.173901098901099,0.284432234432234,0.284569597069597,0.321932234432234,0.317857142857143,0.391208791208791,0.424038461538462,0.316941391941392,0.273946886446886,0.319093406593407,0.228159340659341,0.363003663003663,0.291254578754579
"GTEX-111CU-1426-SM-5GZYP",-0.0921245421245421,-0.0781593406593407,-0.049496336996337,-0.123855311355311,-0.113782051282051,-0.0782509157509158,-0.0942765567765568,-0.107738095238095,-0.0983974358974359,-0.112087912087912,-0.029029304029304,-0.0936813186813187,-0.067032967032967,-0.057051282051282
"GTEX-111CU-1526-SM-5N9FS",0.028021978021978,0.0811813186813187,0.133470695970696,0.15782967032967,0.101098901098901,0.0951007326007326,0.104166666666667,0.295879120879121,0.0833333333333333,0.18282967032967,0.0792124542124542,-0.0369047619047619,0.113553113553114,0.235760073260073
"GTEX-111CU-1726-SM-5EGHM",0.166941391941392,0.172161172161172,0.132234432234432,0.116758241758242,0.0536630036630037,0.0835164835164835,-0.000915750915750916,0.0600274725274725,-0.0281593406593407,0.171565934065934,0.0793040293040293,0.0900641025641026,0.0597985347985348,0.108882783882784
"GTEX-111CU-1826-SM-5GZYN",0.197069597069597,0.130723443223443,0.211355311355311,0.166987179487179,0.128434065934066,0.0827380952380952,0.271565934065934,0.189423076923077,0.213965201465201,0.135531135531136,0.281272893772894,0.172985347985348,0.217032967032967,0.126510989010989
"GTEX-111CU-1926-SM-5GZYZ",-0.0373626373626374,0.0326007326007326,0.0487637362637363,-0.0153846153846154,-0.0375915750915751,0.0124542124542125,-0.0322802197802198,0.126648351648352,-0.0763278388278388,0.0546245421245421,-0.0307692307692308,-0.152518315018315,0.0161172161172161,0.0694139194139194
"GTEX-111CU-2026-SM-5GZZC",0.0134615384615385,-0.0182692307692308,-0.0397893772893773,-0.0648351648351648,-0.0492216117216117,-0.025503663003663,0.0809981684981685,-0.108012820512821,-0.0428113553113553,0.0211538461538462,0.0173076923076923,0.0664835164835165,0.0133241758241758,-0.0157051282051282
"GTEX-111CU-2226-SM-5N9G5",0.325045787545788,0.376419413919414,0.407921245421245,0.298763736263736,0.170375457875458,0.27481684981685,0.334569597069597,0.453434065934066,0.309340659340659,0.34532967032967,0.274587912087912,0.204990842490842,0.363644688644689,0.385943223443223
"GTEX-111FC-0126-SM-5N9DL",-0.23956043956044,-0.189697802197802,-0.281089743589744,-0.254807692307692,-0.158516483516484,-0.208379120879121,-0.224496336996337,-0.190934065934066,-0.210347985347985,-0.180815018315018,-0.240567765567766,-0.246428571428571,-0.201144688644689,-0.193727106227106
"GTEX-111FC-0226-SM-5N9B8",0.134111721611722,0.111355311355311,0.0357142857142857,0.17797619047619,-0.00210622710622711,0.0951465201465201,0.151053113553114,0.140247252747253,0.128525641025641,0.042032967032967,0.104990842490842,0.0920787545787546,0.0754120879120879,0.0382783882783883
"GTEX-111FC-0326-SM-5GZZ1",0.0624084249084249,-0.0251373626373626,0.0327380952380952,0.0108058608058608,0.0455128205128205,-0.0138736263736264,0.046978021978022,-0.085485347985348,0.0070970695970696,0.0377289377289377,0.0535714285714286,0.125549450549451,0.0339285714285714,-0.00590659340659341
